2023-07-24 17:49:14.328 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-07-24 17:51:36.832 [main] INFO  c.e.dockertest.DockerTestApplication - Starting DockerTestApplication using Java 17.0.7 on FA00080 with PID 21528 (C:\Users\leon.yu\IdeaProjects\multiple-datasource-spring-boot-example-main\docker-test\target\classes started by leon.yu in C:\Users\leon.yu\IdeaProjects\multiple-datasource-spring-boot-example-main\docker-test)
2023-07-24 17:51:36.833 [main] INFO  c.e.dockertest.DockerTestApplication - No active profile set, falling back to 1 default profile: "default"
2023-07-24 17:51:37.133 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-07-24 17:51:37.144 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 3 ms. Found 0 JPA repository interfaces.
2023-07-24 17:51:37.431 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-07-24 17:51:37.437 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-07-24 17:51:37.437 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.78]
2023-07-24 17:51:37.509 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-07-24 17:51:37.509 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 649 ms
2023-07-24 17:51:37.599 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-07-24 17:51:37.768 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-07-24 17:51:37.794 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-07-24 17:51:37.828 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
2023-07-24 17:51:37.928 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-07-24 17:51:38.006 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2023-07-24 17:51:38.113 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-07-24 17:51:38.120 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-07-24 17:51:38.342 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-07-24 17:51:38.348 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:51:38啟動成功
2023-07-24 17:51:38.349 [main] INFO  c.e.dockertest.DockerTestApplication - Started DockerTestApplication in 1.797 seconds (JVM running for 2.184)
2023-07-24 17:51:39.362 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:51:39啟動成功
2023-07-24 17:51:40.375 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:51:40啟動成功
2023-07-24 17:51:41.387 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:51:41啟動成功
2023-07-24 17:51:42.397 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:51:42啟動成功
2023-07-24 17:51:43.399 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:51:43啟動成功
2023-07-24 17:51:44.409 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:51:44啟動成功
2023-07-24 17:51:45.424 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:51:45啟動成功
2023-07-24 17:51:46.433 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:51:46啟動成功
2023-07-24 17:51:47.440 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:51:47啟動成功
2023-07-24 17:51:47.817 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-07-24 17:51:47.818 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-07-24 17:51:47.824 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-07-24 17:52:01.953 [main] INFO  c.e.dockertest.DockerTestApplication - Starting DockerTestApplication using Java 17.0.7 on FA00080 with PID 12860 (C:\Users\leon.yu\IdeaProjects\multiple-datasource-spring-boot-example-main\docker-test\target\classes started by leon.yu in C:\Users\leon.yu\IdeaProjects\multiple-datasource-spring-boot-example-main\docker-test)
2023-07-24 17:52:01.955 [main] INFO  c.e.dockertest.DockerTestApplication - No active profile set, falling back to 1 default profile: "default"
2023-07-24 17:52:02.261 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-07-24 17:52:02.269 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 3 ms. Found 0 JPA repository interfaces.
2023-07-24 17:52:02.569 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-07-24 17:52:02.575 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-07-24 17:52:02.575 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.78]
2023-07-24 17:52:02.653 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-07-24 17:52:02.653 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 672 ms
2023-07-24 17:52:02.740 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-07-24 17:52:02.908 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-07-24 17:52:02.936 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-07-24 17:52:02.971 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
2023-07-24 17:52:03.072 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-07-24 17:52:03.151 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
